Papel,BMGB11,Cotação,33.60,,
Tipo,UNT N1,Data últ cot,28/11/2019,,
Empresa,BANCO BMG UNT N1,Min 52 sem,0.00,,
Setor,Intermediários Financeiros,Max 52 sem,0.00,,
Subsetor,Bancos,Vol $ méd (2m),0,,
Valor de mercado,4899150000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,583232000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,18.15,LPA,1.85
Mês,"0,00%",P/VP,1.25,VPA,26.90
30 dias,"0,00%",P/EBIT,-,Marg. Bruta,-
12 meses,"0,00%",PSR,-,Marg. EBIT,-
2021,"0,00%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"0,00%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"-26,96%",P/Ativ Circ Liq,-,ROIC,-
2018,"0,00%",Div. Yield,"0,0%",ROE,"6,9%"
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,-
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"2,8%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,36437600000,Depósitos,19548400000,,
Cart. de Crédito,12517900000,Patrim. Líq,3922500000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,2095260000,Result Int Financ,436346000,,
Rec Serviços,70609000,Rec Serviços,20159000,,
Lucro Líquido,269918000,Lucro Líquido,42386000,,
