,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,9004551000.0,10537314000.0,7859166000.0,8583778000.0
Minority Interest,686861000.0,694070000.0,803113000.0,497156000.0
Net Income,6647984000.0,5974144000.0,6152918000.0,4754641000.0
Selling General Administrative,9736303000.0,9284190000.0,9044034000.0,11455330000.0
Gross Profit,22472318000.0,25206211000.0,21612659000.0,22106196000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,9411329000.0,11594705000.0,8476771000.0,9979991000.0
Other Operating Expenses,3324686000.0,4327316000.0,4091854000.0,670875000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2305779000.0,4515036000.0,1645304000.0,3773174000.0
Total Revenue,22797017000.0,25534839000.0,21924065000.0,22442222000.0
Total Operating Expenses,13385688000.0,13940134000.0,13447294000.0,12462231000.0
Cost Of Revenue,324699000.0,328628000.0,311406000.0,336026000.0
Total Other Income Expense Net,-406778000.0,-1057391000.0,-617605000.0,-1396213000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,6698772000.0,6022278000.0,6213862000.0,4810604000.0
Net Income Applicable To Common Shares,6647984000.0,5974144000.0,6152918000.0,4754641000.0
