FII,VSEC11,Cotação,59.05,,,,
Nome,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES,Data últ cot,06/12/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,49.13,,,,
Segmento,Títulos e Val. Mob.,Max 52 sem,111.42,,,,
Gestão,Ativa,Vol $ méd (2m),1401,,,,
Valor de mercado,3704500,Nro. Cotas,62735,,,,
Relatório,30/06/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"5,03%",FFO Yield,"369,70%",FFO/Cota,218.31,,
Mês,"-13,85%",Div. Yield,"13,1%",Dividendo/cota,1081.23,,
30 dias,"-11,20%",P/VP,0.59,VP/Cota,99.37,,
12 meses,"-13,75%",Resultado,Resultado,Resultado,Resultado,,
2021,"-13,74%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"-21,89%",Receita,21421800,Receita,176976,,
2019,"0,00%",Venda de ativos,0,Venda de ativos,0,,
2018,"0,00%",FFO,13695500,FFO,127920,,
2017,"0,00%",Rend. Distribuído,67830700,Rend. Distribuído,78419,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,7662580,Patrim Líquido,6234270,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
