,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,6760047000.0,6852585000.0,4738330000.0,4090662000.0
Minority Interest,2957922000.0,2564049000.0,2738063000.0,2403457000.0
Net Income,4608838000.0,5523694000.0,4225907000.0,3199054000.0
Selling General Administrative,8493555000.0,8698104000.0,9240861000.0,8645756000.0
Gross Profit,17857959000.0,19300757000.0,17912494000.0,16912244000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,7670088000.0,10560142000.0,3779664000.0,4648759000.0
Other Operating Expenses,1694316000.0,42511000.0,4891969000.0,3617729000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1753502000.0,1016592000.0,110822000.0,519266000.0
Total Revenue,18056403000.0,19485053000.0,18092596000.0,17102858000.0
Total Operating Expenses,10386315000.0,8924911000.0,14312932000.0,12454099000.0
Cost Of Revenue,198444000.0,184296000.0,180102000.0,190614000.0
Total Other Income Expense Net,-910041000.0,-3707557000.0,958666000.0,-558097000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,5006545000.0,5835993000.0,4627508000.0,3571396000.0
Net Income Applicable To Common Shares,4634006000.0,5567231000.0,4157202000.0,3126821000.0
