,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1569689000.0,1801722000.0,1692879000.0,1609719000.0
Minority Interest,11405000.0,11437000.0,11462000.0,11473000.0
Net Income,1176129000.0,1193336000.0,1256038000.0,1097380000.0
Selling General Administrative,706772000.0,1029919000.0,380583000.0,482682000.0
Gross Profit,2296535000.0,2381720000.0,2332458000.0,2226338000.0
Ebit,1547931000.0,1719178000.0,1684718000.0,1469924000.0
Operating Income,1547931000.0,1719178000.0,1684718000.0,1469924000.0
Other Operating Expenses,41832000.0,-102968000.0,2748000.0,2919000.0
Interest Expense,-166573000.0,-101546000.0,-61971000.0,-61971000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,393592000.0,608411000.0,436852000.0,512380000.0
Total Revenue,2512929000.0,2762760000.0,2396704000.0,2280259000.0
Total Operating Expenses,964998000.0,1043582000.0,711986000.0,810335000.0
Cost Of Revenue,216394000.0,381040000.0,64246000.0,53921000.0
Total Other Income Expense Net,21758000.0,82544000.0,8161000.0,139795000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1176097000.0,1193311000.0,1256027000.0,1097339000.0
Net Income Applicable To Common Shares,1176129000.0,1193336000.0,1256038000.0,1097380000.0
