Papel,ONCO3,Cotação,8.95,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,ONCOCLINICAS ON NM,Min 52 sem,7.65,,
Setor,Serv.Méd.Hospit. Análises e Diagnósticos,Max 52 sem,19.24,,
Subsetor,Serv.Méd.Hospit. Análises e Diagnósticos,Vol $ méd (2m),18924000,,
Valor de mercado,4433450000,Últ balanço processado,30/09/2021,,
Valor da firma,4229620000,Nro. Ações,495358000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-4,28%",P/L,0.00,LPA,0.00
Mês,"15,34%",P/VP,2.56,VPA,3.50
30 dias,"-20,94%",P/EBIT,-,Marg. Bruta,-
12 meses,"-53,17%",PSR,-,Marg. EBIT,-
2021,"-53,17%",P/Ativos,0.89,Marg. Líquida,-
2020,"0,00%",P/Cap. Giro,2.89,EBIT / Ativo,"0,0%"
2019,"0,00%",P/Ativ Circ Liq,-14.32,ROIC,-
2018,"0,00%",Div. Yield,"0,0%",ROE,-
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,2.38
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,0.91
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,4970300000,Dív. Bruta,1569680000,,
Disponibilidades,1773520000,Dív. Líquida,-203836000,,
Ativo Circulante,2639280000,Patrim. Líq,1734180000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,679420000,,
EBIT,0,EBIT,200492000,,
Lucro Líquido,0,Lucro Líquido,145177000,,
