,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,636000000.0,451000000.0,349000000.0,349000000.0
Minority Interest,,,,
Net Income,538000000.0,305000000.0,240000000.0,0.0
Selling General Administrative,978000000.0,956000000.0,893000000.0,893000000.0
Gross Profit,1927000000.0,1722000000.0,1507000000.0,0.0
Ebit,788000000.0,582000000.0,468000000.0,0.0
Operating Income,788000000.0,582000000.0,468000000.0,468000000.0
Other Operating Expenses,-1000000.0,30000000.0,1000000.0,1000000.0
Interest Expense,-235000000.0,-181000000.0,-142000000.0,-142000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,98000000.0,146000000.0,109000000.0,0.0
Total Revenue,10845000000.0,10049000000.0,9448000000.0,0.0
Total Operating Expenses,10057000000.0,9467000000.0,8980000000.0,0.0
Cost Of Revenue,8918000000.0,8327000000.0,7941000000.0,0.0
Total Other Income Expense Net,-152000000.0,-131000000.0,-119000000.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,538000000.0,305000000.0,240000000.0,240000000.0
Net Income Applicable To Common Shares,538000000.0,305000000.0,240000000.0,240000000.0
