Papel,FIQE3,Cotação,6.38,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,UNIFIQUE ON NM,Min 52 sem,5.63,,
Setor,Telecomunicações,Max 52 sem,8.99,,
Subsetor,Telecomunicações,Vol $ méd (2m),4331610,,
Valor de mercado,2309880000,Últ balanço processado,30/09/2021,,
Valor da firma,1798680000,Nro. Ações,362050000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-2,45%",P/L,0.00,LPA,0.00
Mês,"4,08%",P/VP,2.35,VPA,2.72
30 dias,"6,69%",P/EBIT,-,Marg. Bruta,-
12 meses,"-19,24%",PSR,-,Marg. EBIT,-
2021,"-19,24%",P/Ativos,1.44,Marg. Líquida,-
2020,"0,00%",P/Cap. Giro,3.53,EBIT / Ativo,"0,0%"
2019,"0,00%",P/Ativ Circ Liq,7.96,ROIC,-
2018,"0,00%",Div. Yield,"0,0%",ROE,-
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,3.57
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,0.29
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,1602420000,Dív. Bruta,287531000,,
Disponibilidades,798726000,Dív. Líquida,-511195000,,
Ativo Circulante,907783000,Patrim. Líq,984998000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,120563000,,
EBIT,0,EBIT,36311000,,
Lucro Líquido,0,Lucro Líquido,22171000,,
