Papel,BMIN3,Cotação,24.98,,
Tipo,ON,Data últ cot,19/11/2021,,
Empresa,BANCO MERCANTIL DE INVESTIMENTOS SA ON,Min 52 sem,19.70,,
Setor,Intermediários Financeiros,Max 52 sem,26.75,,
Subsetor,Bancos,Vol $ méd (2m),1074,,
Valor de mercado,120528000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,4825000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,31.71,LPA,0.79
Mês,"0,00%",P/VP,0.95,VPA,26.16
30 dias,"21,85%",P/EBIT,-,Marg. Bruta,-
12 meses,"25,21%",PSR,-,Marg. EBIT,-
2021,"24,96%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"20,42%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"12,93%",P/Ativ Circ Liq,-,ROIC,-
2018,"-63,91%",Div. Yield,"0,0%",ROE,"3,0%"
2017,"8,70%",EV / EBITDA,-,Liquidez Corr,-
2016,"-27,38%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"-16,3%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,236582000,Depósitos,96558000,,
Cart. de Crédito,81530000,Patrim. Líq,126234000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,9513000,Result Int Financ,2982000,,
Rec Serviços,4806000,Rec Serviços,231000,,
Lucro Líquido,3801000,Lucro Líquido,553000,,
