,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,770427000.0,746869000.0,781351000.0,769817000.0
Total Liab,83299819000.0,80767131000.0,95560310000.0,89950437000.0
Total Stockholder Equity,12764167000.0,8660001000.0,430211000.0,-2202306000.0
Minority Interest,-1629656000.0,-1493054000.0,-1920272000.0,-1664212000.0
Other Current Liab,10980101000.0,8424575000.0,7599896000.0,6691162000.0
Total Assets,94434330000.0,87934078000.0,94070249000.0,86083919000.0
Common Stock,8043222000.0,8043222000.0,8043222000.0,8043222000.0
Other Current Assets,1945805000.0,1989830000.0,1951905000.0,1821648000.0
Retained Earnings,8946873000.0,5403341000.0,-2028615000.0,-4529547000.0
Other Liab,7746726000.0,8707927000.0,10195647000.0,10932075000.0
Good Will,2058874000.0,2058874000.0,2058874000.0,2058874000.0
Treasury Stock,-4225928000.0,-4786562000.0,-5584396000.0,-5715981000.0
Other Assets,9411032000.0,8450974000.0,11176707000.0,10190287000.0
Cash,12025888000.0,9765013000.0,12493422000.0,13862852000.0
Total Current Liabilities,32363495000.0,31043006000.0,33428166000.0,28387174000.0
Deferred Long Term Asset Charges,7458839000.0,5943810000.0,9482232000.0,8529972000.0
Short Long Term Debt,8191808000.0,9384026000.0,9457461000.0,9087333000.0
Other Stockholder Equity,-4187731000.0,-4748365000.0,-5534692000.0,-5666277000.0
Property Plant Equipment,39025164000.0,37587480000.0,40311327000.0,38831544000.0
Total Current Assets,43118871000.0,39039439000.0,39694313000.0,34190244000.0
Long Term Investments,49962000.0,50442000.0,47677000.0,43153000.0
Net Tangible Assets,9934866000.0,5854258000.0,-2410014000.0,-5030997000.0
Short Term Investments,72228000.0,96317000.0,76450000.0,53941000.0
Net Receivables,12827144000.0,11768284000.0,10421973000.0,7472725000.0
Long Term Debt,41115783000.0,39031954000.0,49608956000.0,48318411000.0
Inventory,14365943000.0,12708055000.0,11939115000.0,8383650000.0
Accounts Payable,10438072000.0,10678880000.0,13705356000.0,9946315000.0
