,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,73778000.0,62044000.0,62173000.0,77786000.0
Effect Of Accounting Charges,,,,
Income Before Tax,3415756000.0,10020512000.0,3276532000.0,2028857000.0
Minority Interest,-1629656000.0,-1493054000.0,-1920272000.0,-1664212000.0
Net Income,3536811000.0,7423582000.0,2494211000.0,846230000.0
Selling General Administrative,1186663000.0,1048960000.0,991339000.0,1067222000.0
Gross Profit,8304593000.0,9812565000.0,7237970000.0,4940324000.0
Ebit,6522737000.0,9062471000.0,6644353000.0,2801936000.0
Operating Income,6522737000.0,9062471000.0,6644353000.0,2801936000.0
Other Operating Expenses,519153000.0,-357285000.0,-458333000.0,953164000.0
Interest Expense,-1212230000.0,-1366420000.0,-954172000.0,-786973000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-101953000.0,2458551000.0,862781000.0,1151332000.0
Total Revenue,28299463000.0,26421465000.0,22692168000.0,18738373000.0
Total Operating Expenses,21776726000.0,17358994000.0,16047815000.0,15936437000.0
Cost Of Revenue,19994870000.0,16608900000.0,15454198000.0,13798049000.0
Total Other Income Expense Net,-3106981000.0,958041000.0,-3367821000.0,-773079000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,3517709000.0,7561961000.0,2413751000.0,877525000.0
Net Income Applicable To Common Shares,3536811000.0,7423582000.0,2494211000.0,846230000.0
