,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,382006000.0,304339000.0,360728000.0,486888000.0
Minority Interest,3081627000.0,3098072000.0,3122096000.0,3114858000.0
Net Income,211942000.0,180412000.0,241262000.0,298215000.0
Selling General Administrative,372782000.0,366756000.0,359442000.0,393820000.0
Gross Profit,867906000.0,808541000.0,692352000.0,985408000.0
Ebit,458725000.0,367117000.0,215374000.0,484874000.0
Operating Income,458725000.0,367117000.0,215374000.0,484874000.0
Other Operating Expenses,36399000.0,74668000.0,117536000.0,106714000.0
Interest Expense,-212131000.0,-167996000.0,-87733000.0,-89148000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,115179000.0,82790000.0,95598000.0,124067000.0
Total Revenue,3009523000.0,2811861000.0,2722567000.0,3022694000.0
Total Operating Expenses,2550798000.0,2444744000.0,2507193000.0,2537820000.0
Cost Of Revenue,2141617000.0,2003320000.0,2030215000.0,2037286000.0
Total Other Income Expense Net,-76719000.0,-62778000.0,145354000.0,2014000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,266827000.0,221549000.0,265130000.0,362821000.0
Net Income Applicable To Common Shares,211942000.0,180412000.0,241262000.0,298215000.0
