,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1270974000.0,1024443000.0,1242375000.0,1193208000.0
Minority Interest,,,,
Net Income,975821000.0,753702000.0,977062000.0,916619000.0
Selling General Administrative,19696000.0,21017000.0,17598000.0,28087000.0
Gross Profit,1261123000.0,1026002000.0,1250424000.0,1220364000.0
Ebit,1239737000.0,1002757000.0,1232387000.0,1185042000.0
Operating Income,1239737000.0,1002757000.0,1232387000.0,1185042000.0
Other Operating Expenses,1690000.0,2228000.0,439000.0,7235000.0
Interest Expense,-133000.0,-240000.0,-343000.0,-134000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,295153000.0,270741000.0,265313000.0,276589000.0
Total Revenue,1310217000.0,1080094000.0,1290766000.0,1269375000.0
Total Operating Expenses,70480000.0,77337000.0,58379000.0,84333000.0
Cost Of Revenue,49094000.0,54092000.0,40342000.0,49011000.0
Total Other Income Expense Net,31237000.0,21686000.0,9988000.0,8166000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,975821000.0,753702000.0,977062000.0,916619000.0
Net Income Applicable To Common Shares,975821000.0,753702000.0,977062000.0,916619000.0
