,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,79402000.0,-176097000.0,91431000.0,178678000.0
Minority Interest,465479000.0,467910000.0,492170000.0,499985000.0
Net Income,57149000.0,-112997000.0,56538000.0,199463000.0
Selling General Administrative,89566000.0,97518000.0,57547000.0,74002000.0
Gross Profit,266955000.0,217221000.0,197983000.0,210214000.0
Ebit,174686000.0,119952000.0,151834000.0,143455000.0
Operating Income,174686000.0,119952000.0,151834000.0,143455000.0
Other Operating Expenses,2703000.0,-249000.0,-11398000.0,-7243000.0
Interest Expense,-89009000.0,-86822000.0,-77451000.0,-67389000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,20538000.0,-48597000.0,27764000.0,9751000.0
Total Revenue,290490000.0,239239000.0,226512000.0,241744000.0
Total Operating Expenses,115804000.0,119287000.0,74678000.0,98289000.0
Cost Of Revenue,23535000.0,22018000.0,28529000.0,31530000.0
Total Other Income Expense Net,-95284000.0,-296049000.0,-60403000.0,35223000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,58864000.0,-127500000.0,63667000.0,168927000.0
Net Income Applicable To Common Shares,57149000.0,-112997000.0,56538000.0,199463000.0
