,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-2196294000.0,1162053000.0,-2786626000.0,-322561000.0
Minority Interest,,,,
Net Income,-2196294000.0,1162053000.0,-2786626000.0,-317391000.0
Selling General Administrative,196513000.0,177841000.0,159191000.0,338288000.0
Gross Profit,380915000.0,-119476000.0,-2575000.0,-236467000.0
Ebit,73190000.0,-401916000.0,-245941000.0,-1043929000.0
Operating Income,73190000.0,-401916000.0,-245941000.0,-1043929000.0
Other Operating Expenses,111212000.0,104599000.0,84175000.0,469174000.0
Interest Expense,-914828000.0,-823732000.0,-869209000.0,-797863000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,0.0,0.0,0.0,-5170000.0
Total Revenue,2717801000.0,1702366000.0,1825822000.0,1734533000.0
Total Operating Expenses,2644611000.0,2104282000.0,2071763000.0,2778462000.0
Cost Of Revenue,2336886000.0,1821842000.0,1828397000.0,1971000000.0
Total Other Income Expense Net,-2269484000.0,1563969000.0,-2540685000.0,721368000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-2196294000.0,1162053000.0,-2786626000.0,-317391000.0
Net Income Applicable To Common Shares,-2196294000.0,1162053000.0,-2786626000.0,-317391000.0
