Papel,BRIT3,Cotação,5.56,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,BRISANET ON NM,Min 52 sem,5.50,,
Setor,Telecomunicações,Max 52 sem,13.98,,
Subsetor,Telecomunicações,Vol $ méd (2m),5107690,,
Valor de mercado,2496970000,Últ balanço processado,30/09/2021,,
Valor da firma,2321960000,Nro. Ações,449095000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,09%",P/L,0.00,LPA,0.00
Mês,"-2,46%",P/VP,1.86,VPA,2.99
30 dias,"-26,46%",P/EBIT,-,Marg. Bruta,-
12 meses,"-60,09%",PSR,-,Marg. EBIT,-
2021,"-60,09%",P/Ativos,0.92,Marg. Líquida,-
2020,"0,00%",P/Cap. Giro,2.71,EBIT / Ativo,"0,0%"
2019,"0,00%",P/Ativ Circ Liq,54.12,ROIC,-
2018,"0,00%",Div. Yield,"0,0%",ROE,-
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,2.81
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,0.83
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,2722730000,Dív. Bruta,1108680000,,
Disponibilidades,1283690000,Dív. Líquida,-175007000,,
Ativo Circulante,1427780000,Patrim. Líq,1341070000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,190012000,,
EBIT,0,EBIT,30529000,,
Lucro Líquido,0,Lucro Líquido,-6623000,,
