Papel,TRAD3,Cotação,6.36,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,TC ON NM,Min 52 sem,5.39,,
Setor,Programas e Serviços,Max 52 sem,13.21,,
Subsetor,Programas e Serviços,Vol $ méd (2m),29369900,,
Valor de mercado,1791280000,Últ balanço processado,30/09/2021,,
Valor da firma,1273890000,Nro. Ações,281647000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-5,07%",P/L,0.00,LPA,0.00
Mês,"-19,39%",P/VP,2.82,VPA,2.26
30 dias,"9,66%",P/EBIT,-,Marg. Bruta,-
12 meses,"-49,52%",PSR,-,Marg. EBIT,-
2021,"-49,52%",P/Ativos,2.65,Marg. Líquida,-
2020,"0,00%",P/Cap. Giro,3.51,EBIT / Ativo,"0,0%"
2019,"0,00%",P/Ativ Circ Liq,3.54,ROIC,-
2018,"0,00%",Div. Yield,"0,0%",ROE,-
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,15.74
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,0.01
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,675333000,Dív. Bruta,8492000,,
Disponibilidades,525880000,Dív. Líquida,-517388000,,
Ativo Circulante,545579000,Patrim. Líq,635506000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,25207000,,
EBIT,0,EBIT,-5919000,,
Lucro Líquido,0,Lucro Líquido,11438000,,
