,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,279620000.0,273230000.0,280761000.0,261140000.0
Minority Interest,,,,
Net Income,191366000.0,202485000.0,190277000.0,170941000.0
Selling General Administrative,1217197000.0,1210537000.0,1043565000.0,1174675000.0
Gross Profit,1952320000.0,1989363000.0,1539530000.0,2001793000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,289739000.0,335113000.0,336624000.0,298371000.0
Other Operating Expenses,445384000.0,443713000.0,159341000.0,528747000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,88254000.0,70745000.0,90484000.0,90199000.0
Total Revenue,1956195000.0,1992516000.0,1543077000.0,2002952000.0
Total Operating Expenses,1666456000.0,1657403000.0,1206453000.0,1704581000.0
Cost Of Revenue,3875000.0,3153000.0,3547000.0,1159000.0
Total Other Income Expense Net,-10119000.0,-61883000.0,-55863000.0,-37231000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,191366000.0,202485000.0,190277000.0,170941000.0
Net Income Applicable To Common Shares,191366000.0,202485000.0,190277000.0,170941000.0
