,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,453670000.0,4044000.0,1416106000.0,9473000.0
Minority Interest,370118000.0,344303000.0,366685000.0,198599000.0
Net Income,183913000.0,-44039000.0,688940000.0,-74818000.0
Selling General Administrative,233537000.0,184152000.0,186349000.0,152560000.0
Gross Profit,1685746000.0,1586248000.0,2620834000.0,1828049000.0
Ebit,846402000.0,326139000.0,1803127000.0,870062000.0
Operating Income,846402000.0,326139000.0,1803127000.0,870062000.0
Other Operating Expenses,-37325000.0,-35195000.0,-29450000.0,115857000.0
Interest Expense,-358460000.0,-277404000.0,-257377000.0,-253152000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,289080000.0,49679000.0,571748000.0,97888000.0
Total Revenue,2843311000.0,2578878000.0,3708082000.0,2873765000.0
Total Operating Expenses,1996909000.0,2252739000.0,1904955000.0,2003703000.0
Cost Of Revenue,1157565000.0,992630000.0,1087248000.0,1045716000.0
Total Other Income Expense Net,-392732000.0,-322095000.0,-387021000.0,-860589000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,164590000.0,-45635000.0,844358000.0,-88415000.0
Net Income Applicable To Common Shares,183913000.0,-44039000.0,688940000.0,-74818000.0
