,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,1189466000.0,-33075000.0,79857000.0,1470402000.0
Change To Liabilities,-23159000.0,12168000.0,-145014000.0,142790000.0
Total Cashflows From Investing Activities,-1426723000.0,-1329156000.0,-201778000.0,1080323000.0
Net Borrowings,3213787000.0,1024893000.0,-387894000.0,-926222000.0
Total Cash From Financing Activities,3098621000.0,430474000.0,-485706000.0,-1552455000.0
Change To Operating Activities,-176992000.0,-1084360000.0,-1687000.0,-332164000.0
Net Income,183913000.0,-44039000.0,688940000.0,-74818000.0
Change In Cash,2853671000.0,121465000.0,48705000.0,731088000.0
Repurchase Of Stock,-11014000.0,-11014000.0,-11014000.0,-5215000.0
Effect Of Exchange Rate,-6613000.0,5404000.0,-5000.0,-20096000.0
Total Cash From Operating Activities,1188386000.0,1014743000.0,736194000.0,1223316000.0
Depreciation,592383000.0,1059053000.0,607043000.0,637822000.0
Other Cashflows From Investing Activities,-264772000.0,-20000.0,-20000.0,-2306000.0
Change To Inventory,3439000.0,-770000.0,-5250000.0,4812000.0
Change To Account Receivables,56490000.0,993387000.0,-1090382000.0,17278000.0
Other Cashflows From Financing Activities,-104152000.0,-435779000.0,-97812000.0,-248212000.0
Change To Netincome,368972000.0,87815000.0,732769000.0,720923000.0
Capital Expenditures,-49178000.0,-17495000.0,-27777000.0,-53857000.0
Issuance Of Stock,,20182000.0,20182000.0,20182000.0
Dividends Paid,,-178822000.0,-178822000.0,-372806000.0
