FII,MORC11,Cotação,99.00,,,,
Nome,MORE RECEBÍVEIS IMOBILIÁRIOS FII FUNDO DE INVESTIMENTO IMOBILIÁRIO,Data últ cot,02/12/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,95.00,,,,
Segmento,Títulos e Val. Mob.,Max 52 sem,99.00,,,,
Gestão,Ativa,Vol $ méd (2m),15050,,,,
Valor de mercado,66670600,Nro. Cotas,673440,,,,
Relatório,-,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"0,00%",FFO Yield,"2,40%",FFO/Cota,2.38,,
Mês,"0,00%",Div. Yield,"0,0%",Dividendo/cota,5.15,,
30 dias,"4,21%",P/VP,0.99,VP/Cota,100.11,,
12 meses,"4,21%",Resultado,Resultado,Resultado,Resultado,,
2021,"4,21%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"0,00%",Receita,1822520,Receita,1481760,,
2019,"0,00%",Venda de ativos,3603,Venda de ativos,3603,,
2018,"0,00%",FFO,1600990,FFO,1330650,,
2017,"0,00%",Rend. Distribuído,3470730,Rend. Distribuído,1963390,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,68777500,Patrim Líquido,67416700,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
