,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-5036000.0,-7078000.0,4892000.0,5316000.0
Minority Interest,15521000.0,15678000.0,15008000.0,2352000.0
Net Income,-4539000.0,-6692000.0,4137000.0,2304000.0
Selling General Administrative,18201000.0,19575000.0,15413000.0,7727000.0
Gross Profit,7744000.0,12170000.0,20307000.0,13272000.0
Ebit,-10802000.0,-7980000.0,4465000.0,5227000.0
Operating Income,-10802000.0,-7980000.0,4465000.0,5227000.0
Other Operating Expenses,-1192000.0,-171000.0,-21000.0,-37000.0
Interest Expense,,-58000.0,-53000.0,-677000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-2086000.0,-2420000.0,1875000.0,3111000.0
Total Revenue,58727000.0,54521000.0,51810000.0,43307000.0
Total Operating Expenses,69529000.0,62501000.0,47345000.0,38080000.0
Cost Of Revenue,50983000.0,42351000.0,31503000.0,30035000.0
Total Other Income Expense Net,5766000.0,902000.0,427000.0,89000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-2950000.0,-4658000.0,3017000.0,2205000.0
Net Income Applicable To Common Shares,-4539000.0,-6692000.0,4137000.0,2304000.0
