,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,6192000.0,-14308000.0,-212695000.0,63564000.0
Minority Interest,,,,
Net Income,240551000.0,-22821000.0,-163611000.0,15632000.0
Selling General Administrative,1656955000.0,1128571000.0,867140000.0,760733000.0
Gross Profit,1968170000.0,1250414000.0,840165000.0,992403000.0
Ebit,292614000.0,98572000.0,-46165000.0,214810000.0
Operating Income,292614000.0,98572000.0,-46165000.0,214810000.0
Other Operating Expenses,5447000.0,15998000.0,11596000.0,6417000.0
Interest Expense,-379495000.0,-174100000.0,-135879000.0,-128812000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-234359000.0,8513000.0,-49084000.0,47932000.0
Total Revenue,6277265000.0,4380026000.0,2942150000.0,3330484000.0
Total Operating Expenses,5984651000.0,4281454000.0,2988315000.0,3115674000.0
Cost Of Revenue,4309095000.0,3129612000.0,2101985000.0,2338081000.0
Total Other Income Expense Net,-286422000.0,-112880000.0,-166530000.0,-151246000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,240551000.0,-22821000.0,-163611000.0,15632000.0
Net Income Applicable To Common Shares,240551000.0,-22821000.0,-163611000.0,15632000.0
