,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3122460000.0,3617085000.0,2915408000.0,8464308000.0
Minority Interest,1393588000.0,1212017000.0,1586272000.0,1335496000.0
Net Income,3552532000.0,2885782000.0,2625412000.0,6786010000.0
Selling General Administrative,5418792000.0,5183312000.0,4836519000.0,5093135000.0
Gross Profit,9239538000.0,7745872000.0,8694431000.0,10358686000.0
Ebit,4064387000.0,3958847000.0,4023185000.0,5096446000.0
Operating Income,4064387000.0,3958847000.0,4023185000.0,5096446000.0
Other Operating Expenses,-243641000.0,-1396287000.0,-165273000.0,169105000.0
Interest Expense,-351180000.0,-303569000.0,-334589000.0,-370679000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-590257000.0,687504000.0,182097000.0,1573935000.0
Total Revenue,18492609000.0,15711141000.0,16639761000.0,18556570000.0
Total Operating Expenses,14428222000.0,11752294000.0,12616576000.0,13460124000.0
Cost Of Revenue,9253071000.0,7965269000.0,7945330000.0,8197884000.0
Total Other Income Expense Net,-941927000.0,-341762000.0,-1107777000.0,3367862000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,3712717000.0,2929581000.0,2733311000.0,6890373000.0
Net Income Applicable To Common Shares,3552532000.0,2885782000.0,2625412000.0,6786010000.0
