,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1159968000.0,2257466000.0,1700938000.0,263699000.0
Minority Interest,,,,
Net Income,1175863000.0,2241571000.0,1700938000.0,325878000.0
Selling General Administrative,8382000.0,7115000.0,5357000.0,6721000.0
Gross Profit,0.0,0.0,0.0,0.0
Ebit,-8844000.0,-7498000.0,-28203000.0,-6878000.0
Operating Income,-8844000.0,-7498000.0,-28203000.0,-6878000.0
Other Operating Expenses,462000.0,383000.0,22846000.0,157000.0
Interest Expense,,,,-852000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-15895000.0,15895000.0,0.0,-62179000.0
Total Revenue,0.0,0.0,0.0,0.0
Total Operating Expenses,8844000.0,7498000.0,28203000.0,6878000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,1168812000.0,2264964000.0,1729141000.0,270577000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1175863000.0,2241571000.0,1700938000.0,325878000.0
Net Income Applicable To Common Shares,1175863000.0,2241571000.0,1700938000.0,325878000.0
