,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,270937000.0,104696000.0,76855000.0,294349000.0
Minority Interest,,,,
Net Income,259546000.0,114128000.0,58345000.0,253414000.0
Selling General Administrative,549317000.0,506649000.0,542323000.0,511802000.0
Gross Profit,943925000.0,1057384000.0,1007673000.0,1019238000.0
Ebit,391919000.0,540597000.0,459089000.0,495813000.0
Operating Income,391919000.0,540597000.0,459089000.0,495813000.0
Other Operating Expenses,2689000.0,10138000.0,6261000.0,11623000.0
Interest Expense,-248675000.0,-280930000.0,-256498000.0,-249116000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,11391000.0,-9432000.0,18510000.0,40935000.0
Total Revenue,5803374000.0,5702961000.0,5137107000.0,4399202000.0
Total Operating Expenses,5411455000.0,5162364000.0,4678018000.0,3903389000.0
Cost Of Revenue,4859449000.0,4645577000.0,4129434000.0,3379964000.0
Total Other Income Expense Net,-120982000.0,-435901000.0,-382234000.0,-201464000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,259546000.0,114128000.0,58345000.0,253414000.0
Net Income Applicable To Common Shares,259546000.0,114128000.0,58345000.0,253414000.0
